Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
,ef27437e-d0ea-4efc-93fb-b0649f0ca32e,,,,,,SQ9136556,Color,Pink,,,,,,,,,,,10,0,No,1,,,0,0,0,0,,
6151d20d57fa855481688595,09562763-33a0-4b30-98f2-e990494607f8,PHYSICAL,shop,u44pnfzughk5fp69tad99s1n8sfmie,Gameday Bracelets,"<p class="""">Choose your school! Each bracelet is 7.5 inches.&nbsp;</p>",SQ3804877,School,Woo Pig,,,,,,,,,,,12,0,No,1,Bracelets,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1632762100655-4TAE1VGUZVATEFIBND7I/4870FAAD-B1D9-42A8-A2CC-282B310F47B1 https://images.squarespace-cdn.com/content/v1/5d58260a14cb0d00019a04e7/1632752166036-835OZ2BDIMFDS7QMWLR2/22F75C66-752D-4371-B026-C47884AB1443
,80efd6cd-8132-46cd-9a71-55b16500bf7e,,,,,,SQ6766703,School,Arkansas,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,cbc1ba83-1c37-4dd8-a47f-3b042f9e11bb,,,,,,SQ0802526,School,Go Hogs,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,908c159e-d074-402c-8229-b772a1c2dfd0,,,,,,SQ2339149,School,Roll Tide,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,ad997fbd-0199-483f-888e-f2cf8a9231c7,,,,,,SQ1290144,School,Bama,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,34dd2b61-43d9-4694-af2b-1d4b1b98280b,,,,,,SQ2115796,School,Geaux Tigers,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,0ca19c7e-bcac-450b-be16-23bd68e8d279,,,,,,SQ6438119,School,Hail State,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,ee4651d3-634d-4046-aa28-ac9f73ec0c1e,,,,,,SQ1874247,School,LSU,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,2026bb44-6810-467a-8def-35d26b996d29,,,,,,SQ6259963,School,Hotty Toddy,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,2e1aabff-cf96-415a-9084-067d7104b8f3,,,,,,SQ5239313,School,Hook Em,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,8a1d5a28-5bb9-438f-9c8e-ca5987422f5e,,,,,,SQ9675065,School,Sic Em Bears,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,9ffd94b9-3e82-494e-8726-1b0084471699,,,,,,SQ9124807,School,Boomer Sooner,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,ec44375d-88ec-47db-b292-decbdb79e186,,,,,,SQ8621095,School,War Eagle,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,e21a4843-6d35-48f5-a97e-45314919921a,,,,,,SQ2425896,School,Gig Em,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,312d4ecd-ad70-47fb-81e7-5ddb11b633be,,,,,,SQ5085887,School,Texas,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,6acd23e1-91d0-4251-850f-5b1b2425de1d,,,,,,SQ0417529,School,Ole Miss,,,,,,,,,,,12,0,No,1,,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[[meganwilsonco URL link =www.meganwilsonco.com display=MeganWilsonCo]].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
